locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_1490,1338164,1338952,-,envF,,putative envelope lipoprotein,No COG annotation,A0A0F6B0E7
STM14_1492,1339441,1339680,-,msgA,,macrophage survival protein,Function unknown,A0A0F6B0E8
STM14_1493,1339871,1340392,-,envE,,putative envelope protein,Cell wall/membrane/envelope biogenesis,A0A0F6B0E9
STM14_1494,1340405,1340575,-,STM14_1494,,hypothetical protein,No COG annotation,A0A0F6B0F0
STM14_1495,1340807,1341019,-,STM14_1495,,cold shock-like protein,Transcription,A0A0F6B0F1
STM14_1496,1341060,1341188,-,STM14_1496,,hypothetical protein,No COG annotation,A0A0F6B0F2
STM14_1497,1341151,1341414,-,pagD,,virulence protein PAGD precursor,No COG annotation,A0A0F6B0F3
STM14_1498,1341463,1341640,+,STM14_1498,,,No COG annotation,
STM14_1499,1341718,1341825,+,STM14_1499,,conserved hypothetical protein,No COG annotation,A0A0F6B0F4
STM14_1500,1342043,1342192,-,STM14_1500,,hypothetical protein,No COG annotation,A0A0F6B0F5
STM14_1501,1342226,1342783,+,pagC,,virulence membrane protein PAGC precursor,Cell wall/membrane/envelope biogenesis,A0A0F6B0F6
STM14_1502,1342962,1343096,-,STM14_1502,,hypothetical protein,No COG annotation,A0A0F6B0F7
STM14_1504,1343517,1343692,+,STM14_1504,,,No COG annotation,
STM14_1505,1344020,1344364,-,pliC,,lysozyme inhibitor,Function unknown,A0A0F6B0F8
STM14_1506,1344493,1344636,-,STM14_1506,,hypothetical protein,No COG annotation,A0A0F6B0F9
STM14_1507,1344742,1344867,+,STM14_1507,,putative lipoprotein,No COG annotation,A0A0F6B0G0
STM14_1508,1345067,1345339,+,STM14_1508,,putative cytoplasmic protein,No COG annotation,A0A0F6B0G1
STM14_1509,1345491,1345958,+,STM14_1509,,putative molecular chaperone,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0G2
STM14_1510,1346067,1346216,-,STM14_1510,,putative inner membrane protein,No COG annotation,A0A0F6B0G3
STM14_1511,1346297,1347340,+,STM14_1511,,putative cytoplasmic protein,Carbohydrate transport and metabolism,A0A0F6B0G4
STM14_1512,1347423,1347953,-,STM14_1512,,putative inner membrane protein,Energy production and conversion,A0A0F6B0G5
STM14_1513,1348102,1348416,-,STM14_1513,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6B0G6
STM14_1514,1348508,1348666,-,STM14_1514,,hypothetical protein,No COG annotation,A0A0F6B0G7
STM14_1515,1349098,1350732,+,STM14_1515,,putative ABC transporter periplasmic binding protein,Amino acid transport and metabolism,A0A0F6B0G8
STM14_1516,1350732,1351706,+,STM14_1516,,putative ABC transporter protein,Amino acid transport and metabolism,A0A0F6B0G9
STM14_1517,1351696,1352508,+,STM14_1517,,putative ABC transporter protein,Inorganic ion transport and metabolism,A0A0F6B0H0
STM14_1518,1352502,1353299,+,STM14_1518,,putative ABC-type transport system ATPase component,Inorganic ion transport and metabolism,A0A0F6B0H1
STM14_1519,1353293,1353883,+,STM14_1519,,putative ABC-type transport system ATPase component,Amino acid transport and metabolism,A0A0F6B0H2
STM14_1520,1353965,1355098,-,STM14_1520,,putative inner membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6B0H3
STM14_1521,1355292,1355618,+,STM14_1521,,putative cytoplasmic protein,No COG annotation,A0A0F6B0H4
STM14_1523,1355815,1356462,+,STM14_1523,,hypothetical protein,Function unknown,A0A0F6B0H5
STM14_1524,1356451,1356600,-,STM14_1524,,hypothetical protein,No COG annotation,A0A0F6B0H6
STM14_1525,1356571,1357359,+,aadA,,aminoglycoside resistance protein,Coenzyme transport and metabolism,A0A0F6B0H7
STM14_1526,1357504,1358097,+,STM14_1526,,putative response regulator,Transcription,A0A0F6B0H8
STM14_1527,1358166,1359014,+,STM14_1527,,putative transcriptional regulator,Transcription,A0A0F6B0H9
STM14_1528,1358977,1359201,+,STM14_1528,,hypothetical protein,No COG annotation,A0A0F6B0I0
STM14_1529,1359269,1359517,-,STM14_1529,,putative cytoplasmic protein,Function unknown,A0A0F6B0I1
STM14_1530,1359596,1359745,-,STM14_1530,,putative cytoplasmic protein,No COG annotation,A0A0F6B0I2
STM14_1531,1359828,1360373,+,STM14_1531,,chorismate mutase,Cell wall/membrane/envelope biogenesis,A0A0F6B0I3
STM14_1532,1360570,1361208,+,yeaS,,leucine export protein LeuE,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B0I4
STM14_1533,1361225,1361380,-,STM14_1533,,hypothetical protein,No COG annotation,A0A0F6B0I5
STM14_1534,1361381,1361743,+,yeaR,,putative cytoplasmic protein,Inorganic ion transport and metabolism,A0A0F6B0I6
STM14_1535,1361746,1361928,+,yoaG,,putative cytoplasmic protein,Function unknown,A0A0F6B0I7
STM14_1536,1362034,1362159,-,STM14_1536,,hypothetical protein,No COG annotation,A0A0F6B0I8
STM14_1537,1362158,1362799,+,STM14_1537,,putative nitric oxide reductase,No COG annotation,A0A0F6B0I9
STM14_1538,1362921,1363106,+,STM14_1538,,hypothetical protein,No COG annotation,A0A0F6B0J0
STM14_1539,1363114,1363362,+,yeaQ,,hypothetical protein,Function unknown,A0A0F6B0J1
STM14_1540,1363413,1363529,-,STM14_1540,,hypothetical protein,No COG annotation,A0A0F6B0J2
STM14_1541,1363501,1363599,-,STM14_1541,,hypothetical protein,No COG annotation,A0A0F6B0J3
STM14_1542,1363795,1364046,+,yaoF,,putative hemolysin,Function unknown,A0A0F6B0J4
STM14_1543,1364115,1364426,+,STM14_1543,,putative periplasmic protein,No COG annotation,A0A0F6B0J5
STM14_1544,1364412,1364759,-,yeaO,,putative cytoplasmic protein,Function unknown,A0A0F6B0J6
STM14_1545,1364743,1364856,-,STM14_1545,,hypothetical protein,No COG annotation,A0A0F6B0J7
STM14_1546,1364774,1364911,+,STM14_1546,,hypothetical protein,No COG annotation,A0A0F6B0J8
STM14_1547,1364878,1366062,-,yeaN,,putative amino acid/amine transport protein,Inorganic ion transport and metabolism,A0A0F6B0J9
STM14_1548,1366163,1366957,+,yeaM,,putative regulatory protein,Transcription,A0A0F6B0K0
STM14_1549,1366937,1367383,-,yeaL,,putative inner membrane protein,Function unknown,A0A0F6B0K1
STM14_1550,1367385,1367522,+,STM14_1550,,conserved hypothetical protein,No COG annotation,A0A0F6B0K2
STM14_1551,1367589,1367696,+,STM14_1551,,putative inner membrane protein,No COG annotation,A0A0F6B0K3
STM14_1552,1367693,1368211,-,yeaK,,putative cytoplasmic protein,Function unknown,A0A0F6B0K4
STM14_1553,1368261,1369754,-,yeaJ,,putative methyl-accepting chemotaxis protein,Signal transduction mechanisms,A0A0F6B0K5
STM14_1554,1370048,1370245,+,STM14_1554,,hypothetical protein,No COG annotation,A0A0F6B0K6
STM14_1555,1370136,1370267,+,STM14_1555,,salivary secreted protein,No COG annotation,A0A0F6B0K7
STM14_1556,1370395,1371681,-,yeaH,,hypothetical protein,Function unknown,A0A0F6B0K8
STM14_1557,1371682,1371801,+,STM14_1557,,hypothetical protein,No COG annotation,A0A0F6B0K9
STM14_1558,1371804,1373738,-,yeaG,,putative serine protein kinase,Signal transduction mechanisms,A0A0F6B0L0
STM14_1559,1373854,1374027,-,STM14_1559,,hypothetical protein,No COG annotation,A0A0F6B0L1
STM14_1560,1374166,1374912,+,mipA,,MltA-interacting protein A,Cell wall/membrane/envelope biogenesis,A0A0F6B0L2
STM14_1561,1375202,1376398,+,STM14_1561,,arylsulfatase regulator,Energy production and conversion,A0A0F6B0L3
STM14_1562,1376495,1377352,+,STM14_1562,,putative aldehyde reductase,Function unknown,A0A0F6B0L4
STM14_1563,1377451,1378335,-,yeaD,,aldose 1-epimerase,Carbohydrate transport and metabolism,A0A0F6B0L5
STM14_1564,1378335,1378511,-,STM14_1564,,hypothetical protein,No COG annotation,A0A0F6B0L6
STM14_1565,1378670,1379665,-,gapA,,glyceraldehyde-3-phosphate dehydrogenase,Nucleotide transport and metabolism,A0A0F6B0L7
STM14_1566,1379655,1379795,+,STM14_1566,,hypothetical protein,No COG annotation,A0A0F6B0L8
STM14_1567,1379977,1380420,+,yeaA,,methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0L9
STM14_1568,1380462,1380740,+,yeaC,,putative cytoplasmic protein,Function unknown,A0A0F6B0M0
STM14_1569,1380898,1381002,+,STM14_1569,,hypothetical protein,No COG annotation,A0A0F6B0M1
STM14_1570,1381091,1381747,-,pncA,,nicotinamidase/pyrazinamidase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6B0M2
STM14_1571,1381774,1382790,-,ansA,,cytoplasmic asparaginase I,Amino acid transport and metabolism,A0A0F6B0M3
STM14_1572,1382785,1382889,+,STM14_1572,,hypothetical protein,No COG annotation,A0A0F6B0M4
STM14_1573,1382886,1384742,-,sppA,,protease 4,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0M5
STM14_1574,1384916,1385467,+,ydjA,,hypothetical protein,Energy production and conversion,A0A0F6B0M6
STM14_1575,1385585,1386628,+,selD,,selenophosphate synthetase,Nucleotide transport and metabolism,A0A0F6B0M7
STM14_1576,1386633,1388582,+,topB,,DNA topoisomerase III,"Replication, recombination and repair",A0A0F6B0M8
STM14_1577,1388612,1389955,-,gdhA,,glutamate dehydrogenase,Amino acid transport and metabolism,A0A0F6B0M9
STM14_1578,1390194,1390469,+,STM14_1578,,putative periplasmic protein,Function unknown,A0A0F6B0N0
STM14_1579,1390429,1390845,-,STM14_1579,,pyrimidine (deoxy)nucleoside triphosphate pyrophosphohydrolase,"Replication, recombination and repair",A0A0F6B0N1
STM14_1580,1390918,1391724,-,xthA,,exonuclease III,"Replication, recombination and repair",A0A0F6B0N2
STM14_1581,1391859,1392038,+,STM14_1581,,conserved hypothetical protein,No COG annotation,A0A0F6B0N3
STM14_1582,1392170,1393396,+,argD_1,,bifunctional succinylornithine transaminase/acetylornithine transaminase,Amino acid transport and metabolism,A0A0F6B0N4
STM14_1583,1393387,1394421,+,astA,,arginine succinyltransferase,Amino acid transport and metabolism,A0A0F6B0N5
STM14_1584,1394418,1395896,+,astD,,succinylglutamic semialdehyde dehydrogenase,Energy production and conversion,A0A0F6B0N6
STM14_1585,1395893,1397236,+,astB,,succinylarginine dihydrolase,Amino acid transport and metabolism,A0A0F6B0N7
STM14_1586,1397229,1398197,+,astE,,succinylglutamate desuccinylase,Amino acid transport and metabolism,A0A0F6B0N8
STM14_1587,1398234,1398449,+,STM14_1587,,hypothetical protein,No COG annotation,A0A0F6B0N9
STM14_1588,1398533,1399018,+,spy,,periplasmic protein,Cell motility,A0A0F6B0P0
STM14_1589,1399093,1400001,-,STM14_1589,,nucleotide excision repair endonuclease,"Replication, recombination and repair",A0A0F6B0P1
STM14_1590,1400095,1400922,-,nadE,,NAD synthetase,Nucleotide transport and metabolism,A0A0F6B0P2
STM14_1591,1400923,1401129,-,STM14_1591,,hypothetical protein,No COG annotation,A0A0F6B0P3
STM14_1592,1401141,1401482,+,osmE,,DNA-binding transcriptional activator OsmE,Cell wall/membrane/envelope biogenesis,A0A0F6B0P4
STM14_1593,1401610,1401732,+,STM14_1593,,hypothetical protein,No COG annotation,A0A0F6B0P5
STM14_1594,1401783,1402103,+,celA,,N%2CN'-diacetylchitobiose-specific PTS system transporter subunit IIB,Carbohydrate transport and metabolism,A0A0F6B0P6
STM14_1595,1402186,1403544,+,celB,,N%2CN'-diacetylchitobiose-specific PTS system transporter subunit IIC,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B0P7
STM14_1596,1403595,1403942,+,celC,,N%2CN'-diacetylchitobiose-specific PTS system transporter subunit IIA,Carbohydrate transport and metabolism,A0A0F6B0P8
STM14_1597,1403953,1404795,+,celD,,DNA-binding transcriptional regulator ChbR,Transcription,A0A0F6B0P9
STM14_1598,1404920,1406275,+,celF,,phospho-beta-glucosidase/cellobiose-6-phosphate hydrolase,Carbohydrate transport and metabolism,A0A0F6B0Q0
STM14_1599,1406288,1407046,+,celG,,hypothetical protein,Nucleotide transport and metabolism,A0A0F6B0Q1
STM14_1600,1407090,1409342,-,katE,,hydroperoxidase II,Inorganic ion transport and metabolism,A0A0F6B0Q2
STM14_1601,1409372,1409509,+,STM14_1601,,hypothetical protein,No COG annotation,A0A0F6B0Q3
STM14_1602,1409399,1409647,-,STM14_1602,,hypothetical protein,"Translation, ribosomal structure and biogenesis",A0A0F6B0Q4
STM14_1603,1409707,1409949,+,cedA,,cell division modulator,"Cell cycle control, cell division, chromosome partitioning",A0A0F6B0Q5
STM14_1604,1410051,1411442,-,ydjN,,kinase/transporter-like protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B0Q6
STM14_1605,1411579,1412166,-,ydjM,,hypothetical protein,Function unknown,A0A0F6B0Q7
STM14_1606,1412316,1412984,-,yniC,,2-deoxyglucose-6-phosphatase,Function unknown,A0A0F6B0Q8
STM14_1607,1413133,1413669,+,yniB,,putative regulatory protein,Function unknown,A0A0F6B0Q9
STM14_1608,1413712,1414572,-,STM14_1608,,putative cytoplasmic protein,Carbohydrate transport and metabolism,A0A0F6B0R0
STM14_1609,1414679,1414969,-,ydiZ,,putative cytoplasmic protein,Function unknown,A0A0F6B0R1
STM14_1610,1415066,1415998,-,pfkB,,6-phosphofructokinase 2,Coenzyme transport and metabolism,A0A0F6B0R2
STM14_1611,1416287,1417045,+,ydiY,,putative outer membrane protein,Cell wall/membrane/envelope biogenesis,A0A0F6B0R3
STM14_1612,1417094,1418053,-,STM14_1612,,putative outer membrane protein,Function unknown,A0A0F6B0R4
STM14_1613,1418196,1418510,+,STM14_1613,,putative inner membrane protein,No COG annotation,A0A0F6B0R5
STM14_1614,1418507,1419361,+,STM14_1614,,putative DNA/RNA non-specific endonuclease,Nucleotide transport and metabolism,A0A0F6B0R6
STM14_1615,1419534,1419740,+,STM14_1615,,hypothetical protein,No COG annotation,A0A0F6B0R7
STM14_1616,1420063,1421286,-,rfc,,O-antigen polymerase,No COG annotation,A0A0F6B0R8
STM14_1617,1421769,1421954,+,STM14_1617,,hypothetical protein,No COG annotation,A0A0F6B0R9
STM14_1618,1421956,1422090,+,STM14_1618,,hypothetical protein,No COG annotation,A0A0F6B0S0
STM14_1619,1422178,1424106,+,thrS,,threonyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6B0S1
STM14_1620,1424110,1424652,+,infC,,translation initiation factor IF-3,"Translation, ribosomal structure and biogenesis",A0A0F6B0S2
STM14_1621,1424748,1424945,+,rpmI,,50S ribosomal protein L35,"Translation, ribosomal structure and biogenesis",A0A0F6B0S3
STM14_1622,1424996,1425352,+,rplT,,50S ribosomal protein L20,"Translation, ribosomal structure and biogenesis",A0A0F6B0S4
STM14_1623,1425398,1425562,-,STM14_1623,,hypothetical protein,No COG annotation,A0A0F6B0S5
STM14_1624,1425654,1426637,+,pheS,,phenylalanyl-tRNA synthetase subunit alpha,"Translation, ribosomal structure and biogenesis",A0A0F6B0S6
STM14_1625,1426653,1429040,+,pheT,,phenylalanyl-tRNA synthetase subunit beta,"Translation, ribosomal structure and biogenesis",A0A0F6B0S7
STM14_1626,1429045,1429344,+,ihfA,,integration host factor subunit alpha,Transcription,A0A0F6B0S8
STM14_1627,1429547,1430527,+,btuC,,vtamin B12-transporter permease,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B0S9
STM14_1628,1430619,1431170,+,btuE,,putative glutathione peroxidase,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0T0
STM14_1629,1431170,1431919,+,btuD,,vitamin B12-transporter ATPase,Coenzyme transport and metabolism,A0A0F6B0T1
STM14_1630,1431996,1432460,+,nlpC,,lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6B0T2
STM14_1631,1432577,1432696,-,STM14_1631,,hypothetical protein,No COG annotation,A0A0F6B0T3
STM14_1632,1432774,1433487,+,ydiV,,hypothetical protein,Transcription,D0ZW85
STM14_1633,1433549,1434991,+,ydiU,,hypothetical protein,Function unknown,A0A0F6B0T4
STM14_1634,1435026,1435217,-,ydiE,,hypothetical protein,Inorganic ion transport and metabolism,A0A0F6B0T5
STM14_1635,1435374,1436420,-,aroH,,phospho-2-dehydro-3-deoxyheptonate aldolase,Amino acid transport and metabolism,A0A0F6B0T6
STM14_1636,1436467,1436571,+,STM14_1636,,hypothetical protein,No COG annotation,A0A0F6B0T7
STM14_1637,1436576,1437409,-,ydiA,,hypothetical protein,Nucleotide transport and metabolism,A0A0F6B0T8
STM14_1638,1437586,1437699,-,STM14_1638,,hypothetical protein,No COG annotation,A0A0F6B0T9
STM14_1639,1437746,1440124,+,pps,,phosphoenolpyruvate synthase,Coenzyme transport and metabolism,A0A0F6B0U0
STM14_1640,1440166,1441806,-,ydiD,,short chain acyl-CoA synthetase,Lipid transport and metabolism,A0A0F6B0U1
STM14_1641,1441896,1442189,-,ydiT,,putative ferredoxin,Energy production and conversion,A0A0F6B0U2
STM14_1642,1442186,1443472,-,ydiS,,hypothetical protein,Energy production and conversion,A0A0F6B0U3
STM14_1643,1443529,1444464,-,ydiR,,electron transfer flavoprotein subunit YdiR,Energy production and conversion,A0A0F6B0U4
STM14_1644,1444486,1445250,-,ydiQ,,putative electron transfer flavoprotein YdiQ,Energy production and conversion,A0A0F6B0U5
STM14_1645,1445506,1445658,-,STM14_1645,,hypothetical protein,No COG annotation,A0A0F6B0U6
STM14_1646,1445713,1446603,+,ydiP,,putative transcriptional regulator,Transcription,A0A0F6B0U7
STM14_1647,1446679,1447830,-,ydiO,,putative acyl-CoA dehydrogenase,Lipid transport and metabolism,A0A0F6B0U8
STM14_1648,1447844,1449439,-,ydiF,,putative acetyl-CoA/acetoacetyl-CoA transferase beta subunit,Lipid transport and metabolism,A0A0F6B0U9
STM14_1649,1449593,1450351,-,aroD,,3-dehydroquinate dehydratase,Amino acid transport and metabolism,A0A0F6B0V0
STM14_1650,1450396,1451262,-,aroE_1,,quinate/shikimate dehydrogenase,Amino acid transport and metabolism,A0A0F6B0V1
STM14_1651,1451329,1452564,-,ydiN,,putative transport protein,Amino acid transport and metabolism,A0A0F6B0V2
STM14_1652,1452598,1452744,+,STM14_1652,,hypothetical protein,No COG annotation,A0A0F6B0V3
STM14_1653,1452728,1452838,-,STM14_1653,,hypothetical protein,No COG annotation,A0A0F6B0V4
STM14_1654,1452928,1454139,-,ydiM,,putative transport protein,Amino acid transport and metabolism,A0A0F6B0V5
STM14_1655,1454280,1454639,-,ydiL,,putative cytoplasmic protein,Function unknown,A0A0F6B0V6
STM14_1657,1455097,1456215,-,ydiK,,putative inner membrane protein,Function unknown,A0A0F6B0V7
STM14_1658,1456308,1456475,-,STM14_1658,,hypothetical protein,No COG annotation,A0A0F6B0V8
STM14_1659,1456480,1459536,+,ydiJ,,putative oxidase,Energy production and conversion,A0A0F6B0V9
STM14_1660,1459533,1459943,+,STM14_1660,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6B0W0
STM14_1661,1460003,1460230,+,ydiH,,putative cytoplasmic protein,Function unknown,A0A0F6B0W1
STM14_1662,1460518,1461864,-,STM14_1662,,putative Na+-dicarboxylate symporter,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B0W2
STM14_1663,1462291,1462659,+,sufA,,iron-sulfur cluster assembly scaffold protein,Function unknown,A0A0F6B0W3
STM14_1664,1462668,1464155,+,sufB,,cysteine desulfurase activator complex subunit SufB,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0W4
STM14_1665,1464172,1464918,+,sufC,,cysteine desulfurase ATPase component,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0W5
STM14_1666,1464893,1466164,+,sufD,,cysteine desulfurase activator complex subunit SufD,"Post-translational modification, protein turnover,and chaperones",A0A0F6B0W6
STM14_1667,1466161,1467381,+,sufS,,selenocysteine lyase,Coenzyme transport and metabolism,A0A0F6B0W7
STM14_1668,1467394,1467810,+,ynhA,,cysteine desufuration protein SufE,Function unknown,A0A0F6B0W8
STM14_1669,1467965,1468966,+,ynhG,,hypothetical protein,Function unknown,A0A0F6B0W9
STM14_1670,1469033,1469272,-,lppB,,putative methyl-accepting chemotaxis protein,Cell wall/membrane/envelope biogenesis,A0A0F6B0X0
STM14_1671,1469355,1469591,-,lpp,,murein lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6B0X1
STM14_1672,1469902,1471314,-,pykF,,pyruvate kinase,Nucleotide transport and metabolism,A0A0F6B0X2
STM14_1673,1471716,1473059,-,orf48,,putative amino acid permease,Amino acid transport and metabolism,A0A0F6B0X3
STM14_1674,1473081,1473974,-,orf32,,putative proline iminopeptidase,Lipid transport and metabolism,A0A0F6B0X4
STM14_1675,1474033,1474770,-,orf245,,putative cytoplasmic protein,Function unknown,A0A0F6B0X5
STM14_1676,1474782,1476008,-,orf408,,putative regulatory protein,Coenzyme transport and metabolism,A0A0F6B0X6
STM14_1677,1476331,1479393,-,ttrA,,tetrathionate reductase complex subunit A,Energy production and conversion,A0A0F6B0X7
STM14_1678,1479386,1480408,-,ttrC,,tetrathionate reductase complex subunit C,Energy production and conversion,A0A0F6B0X8
STM14_1679,1480409,1481161,-,ttrB,,tetrathionate reductase complex subunit B,Energy production and conversion,A0A0F6B0X9
STM14_1680,1481325,1483103,+,ttrS,,sensory histidine kinase,Signal transduction mechanisms,A0A0F6B0Y0
STM14_1681,1483060,1483698,+,ttrR,,response regulator,Transcription,A0A0F6B0Y1
STM14_1682,1483796,1484008,+,orf70,,hypothetical protein,Function unknown,A0A0F6B0Y2
STM14_1683,1484104,1485063,-,orf319,,putative inner membrane protein,Function unknown,A0A0F6B0Y3
STM14_1684,1485236,1485964,-,orf242,,putative regulatory protein,Transcription,A0A0F6B0Y4
STM14_1685,1486016,1486129,-,STM14_1685,,hypothetical protein,No COG annotation,A0A0F6B0Y5
STM14_1686,1486143,1486781,-,ssrB,,transcriptional activator,Transcription,A0A0F6B0Y6
STM14_1687,1486812,1489574,-,ssrA,,sensor kinase,Signal transduction mechanisms,A0A0F6B0Y7
STM14_1688,1489975,1490376,+,ssaB,,secreted effector protein,No COG annotation,D0ZWR8
STM14_1689,1490378,1491871,+,ssaC,,outer membrane secretin precursor,Cell motility,D0ZWR9
STM14_1690,1491852,1493063,+,ssaD,,virulence protein,Function unknown,A0A0F6B0Y8
STM14_1691,1493071,1493313,+,ssaE,,secretion system effector,Function unknown,A0A0F6B0Y9
STM14_1692,1493410,1493517,+,STM14_1692,,hypothetical protein,No COG annotation,A0A0F6B0Z0
STM14_1693,1493577,1493903,+,STM14_1693,,secretion system chaperone protein,No COG annotation,A0A0F6B0Z1
STM14_1694,1493910,1494500,+,STM14_1694,,translocation machinery component,Function unknown,A0A0F6B0Z2
STM14_1695,1494497,1494970,+,sscA,,secretion system chaparone,Function unknown,A0A0F6B0Z3
STM14_1696,1494973,1496427,+,sseC,,translocation machinery component,Function unknown,A0A0F6B0Z4
STM14_1697,1496443,1497030,+,sseD,,translocation machinery component,No COG annotation,A0A0F6B0Z5
STM14_1698,1497033,1497449,+,sseE,,secreted effector protein,Function unknown,A0A0F6B0Z6
STM14_1699,1497501,1497935,+,sscB,,secretion system chaparone,Cell motility,A0A0F6B0Z7
STM14_1700,1497951,1498733,+,sseF,,secreted effector protein,No COG annotation,A0A0F6B0Z8
STM14_1701,1498730,1499419,+,sseG,,secreted effector protein,No COG annotation,A0A0F6B0Z9
STM14_1702,1499513,1499728,+,ssaG,,type III secretion system apparatus protein,Function unknown,A0A0F6B100
STM14_1703,1499769,1499996,+,ssaH,,type III secretion system apparatus protein,Function unknown,A0A0F6B101
STM14_1704,1500008,1500256,+,ssaI,,type III secretion system apparatus protein,No COG annotation,A0A0F6B102
STM14_1705,1500253,1501002,+,ssaJ,,needle complex inner membrane lipoprotein,"Intracellular trafficking, secretion, and vesicular transport",D0ZWT5
STM14_1706,1501020,1501568,+,STM14_1706,,putative cytoplasmic protein,Function unknown,A0A0F6B103
STM14_1707,1501565,1502239,+,ssaK,,type III secretion system apparatus protein,Cell motility,A0A0F6B104
STM14_1708,1502205,1503221,+,ssaL,,type III secretion system apparatus protein,Function unknown,A0A0F6B105
STM14_1709,1503279,1503647,+,ssaM,,type III secretion system apparatus protein,No COG annotation,A0A0F6B106
STM14_1710,1503632,1505677,+,ssaV,,secretion system apparatus protein SsaV,"Intracellular trafficking, secretion, and vesicular transport",D0ZWU0
STM14_1711,1505667,1506968,+,ssaN,,type III secretion system ATPase,Cell motility,A0A0F6B107
STM14_1712,1506971,1507348,+,ssaO,,type III secretion system apparatus protein,No COG annotation,A0A0F6B108
STM14_1713,1507329,1507703,+,ssaP,,type III secretion system apparatus protein,No COG annotation,A0A0F6B109
STM14_1714,1507684,1508652,+,ssaQ,,type III secretion system protein,Cell motility,A0A0F6B110
STM14_1715,1508720,1509367,+,ssaR,,type III secretion system protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B111
STM14_1716,1509364,1509630,+,ssaS,,type III secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B112
STM14_1717,1509631,1510410,+,ssaT,,type III secretion system apparatus protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B113
STM14_1718,1510407,1511465,+,ssaU,,secretion system apparatus protein SsaU,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B114
STM14_1719,1511477,1511602,+,STM14_1719,,hypothetical protein,No COG annotation,A0A0F6B115
STM14_1722,1511938,1513311,-,ydhE,,multidrug efflux protein,Inorganic ion transport and metabolism,A0A0F6B116
STM14_1723,1513528,1514169,+,ribE,,riboflavin synthase subunit alpha,Coenzyme transport and metabolism,A0A0F6B117
STM14_1724,1514211,1515359,-,cfa,,cyclopropane fatty acyl phospholipid synthase,Cell wall/membrane/envelope biogenesis,A0A0F6B118
STM14_1725,1515649,1516854,-,ydhC,,inner membrane transport protein YdhC,Amino acid transport and metabolism,A0A0F6B119
STM14_1726,1516967,1517899,+,ydhB,,putative DNA-binding transcriptional regulator,Transcription,A0A0F6B120
STM14_1727,1517896,1518921,-,purR,,DNA-binding transcriptional repressor PurR,Transcription,A0A0F6B121
STM14_1728,1519171,1519452,+,STM14_1728,,hypothetical protein,No COG annotation,A0A0F6B122
STM14_1729,1519389,1519970,-,sodB,,superoxide dismutase,Energy production and conversion,A0A0F6B123
STM14_1730,1520097,1520951,-,ydhO,,putative cell wall-associated hydrolase,Cell wall/membrane/envelope biogenesis,A0A0F6B124
STM14_1731,1521253,1521600,+,ydhD,,hypothetical protein,Energy production and conversion,A0A0F6B125
STM14_1732,1521678,1522325,-,rnt,,ribonuclease T,"Replication, recombination and repair",A0A0F6B126
STM14_1733,1522426,1522833,-,gloA,,glyoxalase I,Coenzyme transport and metabolism,A0A0F6B127
STM14_1734,1522902,1523999,-,nemA,,N-ethylmaleimide reductase,Energy production and conversion,A0A0F6B128
STM14_1735,1524058,1524657,-,ydhM,,putative transcriptional repressor,Transcription,A0A0F6B129
STM14_1736,1524760,1524999,+,ydhL,,putative oxidoreductase,Function unknown,A0A0F6B130
STM14_1737,1525050,1525946,+,ydhF,,putative aldo/keto reductase,Function unknown,A0A0F6B131
STM14_1738,1526026,1526547,+,sodC_2,,superoxide dismutase,Inorganic ion transport and metabolism,A0A0F6B132
STM14_1739,1526523,1528562,-,STM14_1739,,putative inner membrane protein,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6B133
STM14_1740,1528562,1529458,-,ydhJ,,putative multidrug resistance efflux pump,Defense mechanisms,A0A0F6B134
STM14_1741,1529425,1529661,-,ydhI,,putative inner membrane protein,Function unknown,A0A0F6B135
STM14_1742,1529862,1530296,+,slyA,,transcriptional regulator SlyA,Transcription,A0A0F6B136
