,gene_id,gene_ontology
1427,STM3186,efflux pump complex
1428,STM3186,efflux transmembrane transporter activity
1429,STM3199,plasma membrane
1430,STM3199,protein localization to plasma membrane
1431,STM3202,triphosphatase activity
1432,STM3202,metal ion binding
1433,STM3206,dihydroneopterin aldolase activity
1434,STM3206,cytoplasm
1435,STM3206,folic acid-containing compound metabolic process
1436,STM3018,metal ion binding
1437,STM3018,4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity
1438,STM3018,D-glucuronate catabolic process
1439,STM3018,D-galacturonate catabolic process
1440,STM3019,fatty acid beta-oxidation
1441,STM3019,acetyl-CoA C-acetyltransferase activity
1442,STM3020,transcription regulatory region sequence-specific DNA binding
1443,STM3020,"regulation of transcription, DNA-templated"
1455,STM3028,fimbrial usher porin activity
1456,STM3028,pilus assembly
1457,STM3028,cell outer membrane
1458,STM3232,plasma membrane
1459,STM3233,cytoplasm
1460,STM3233,glutathione transferase activity
1461,STM3235,transcription regulatory region sequence-specific DNA binding
1462,STM3235,"regulation of transcription, DNA-templated"
1465,STM3240,L-serine ammonia-lyase activity
1466,STM3245,"regulation of transcription, DNA-templated"
1467,STM3245,cytosol
1468,STM3245,bacterial-type cis-regulatory region sequence-specific DNA binding
1469,STM3050,cytosol
1470,STM3051,cytosol
1471,STM3051,beta-glucosidase activity
1472,STM3051,carbohydrate catabolic process
1473,STM3250,galactarate catabolic process
1474,STM3250,D-galacturonate catabolic process
1475,STM3250,galactarate dehydratase activity
1476,STM3053,pyridoxal phosphate binding
1477,STM3053,glycine binding
1478,STM3053,glycine dehydrogenase (decarboxylating) activity
1479,STM3053,glycine decarboxylation via glycine cleavage system
1480,STM3053,cytosol
1481,STM3053,glycine cleavage complex
1482,STM3054,cytosol
1483,STM3054,protein lipoylation
1484,STM3054,cytoplasm
1485,STM3054,glycine decarboxylation via glycine cleavage system
1486,STM3056,2-octaprenylphenol hydroxylase activity
1487,STM3056,oxidoreductase activity
1488,STM3056,ubiquinone biosynthetic process
1492,STM3061,folic acid-containing compound biosynthetic process
1493,STM3061,tetrahydrofolate interconversion
1494,STM3061,5-formyltetrahydrofolate cyclo-ligase activity
1500,STM3261,galactitol catabolic process
1501,STM3261,galactitol-1-phosphate 5-dehydrogenase activity
1502,STM3263,enzyme-directed rRNA 2'-O-methylation
1503,STM3075,transmembrane transporter activity
1504,STM3075,plasma membrane
1505,STM3075,transmembrane transport
1506,STM3076,transketolase activity
1507,STM3076,cytosol
1508,STM3076,pentose-phosphate shunt
1509,STM3080,single-species biofilm formation
1510,STM3080,cytosol
1511,STM3273,cytosol
1512,STM3083,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
1519,STM3094,rRNA base methylation
1520,STM3094,rRNA (uridine-N3-)-methyltransferase activity
1521,STM3285,ribosome biogenesis
1522,STM3285,ribosomal small subunit binding
1523,STM3285,cytosol
1529,STM3098,"negative regulation of transcription, DNA-templated"
1530,STM3098,DNA-binding transcription factor activity
1531,STM3098,DNA binding
1532,STM3295,cytosol
1533,STM3295,dihydropteroate synthase activity
1534,STM3295,tetrahydrofolate biosynthetic process
1535,STM3100,intracellular anatomical structure
1536,STM3100,pyridoxal phosphate binding
1537,STM3104,cytoplasm
1538,STM3104,porphyrin-containing compound biosynthetic process
1539,STM3104,"4 iron, 4 sulfur cluster binding"
1540,STM3314,calcium ion transmembrane transport
1541,STM3314,cellular calcium ion homeostasis
1542,STM3314,calcium channel activity
1543,STM3314,integral component of plasma membrane
1544,STM3314,"calcium, potassium:sodium antiporter activity"
1545,STM3108,cytosol
1550,STM3113,integral component of plasma membrane
1551,STM3113,uridine transmembrane transporter activity
1552,STM3113,organic substance transport
1553,STM3113,cytidine transmembrane transporter activity
1554,STM3114,cytosol
1555,STM3114,ornithine decarboxylase activity
1556,STM3114,carboxy-lyase activity
1557,STM3114,pyridoxal phosphate binding
1558,STM3122,arylsulfatase activity
1559,STM3334,cytosine catabolic process
1560,STM3334,cytosine deaminase activity
1561,STM3334,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines"
1562,STM3334,isoguanine deaminase activity
1563,STM3336,N-acylmannosamine kinase activity
1564,STM3336,N-acetylneuraminate catabolic process
1568,STM3339,N-acetylneuraminate catabolic process
1569,STM3339,cytosol
1570,STM3339,N-acetylneuraminate lyase activity
1571,STM3346,cell division site
1572,STM3346,cytoplasm
1573,STM3346,cell division
1574,STM3346,ATPase activity
1575,STM3356,plasma membrane
1576,STM3146,endopeptidase activity
1577,STM3146,protein processing
1578,STM3146,cellular protein modification process
1579,STM3148,formate dehydrogenase (quinone) activity
1580,STM3148,hydrogenase (acceptor) activity
1581,STM3148,plasma membrane
1582,STM3148,integral component of membrane
1583,STM3148,[Ni-Fe] hydrogenase complex
1584,STM3148,formate dehydrogenase complex
1585,STM3148,anaerobic respiration
1586,STM3148,formate oxidation
1587,STM3152,transmembrane signaling receptor activity
1588,STM3152,integral component of plasma membrane
1589,STM3152,chemotaxis
1590,STM3373,plasma membrane
1591,STM3373,regulation of cell shape
1596,STM3157,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
1597,STM3157,oxidation-reduction process
1598,STM3163,"regulation of transcription, DNA-templated"
1599,STM3164,alcohol dehydrogenase [NAD(P)+] activity
1600,STM3164,"methylglyoxal reductase (NADPH-dependent, acetol producing)"
1601,STM3164,cytosol
1602,STM3164,alcohol dehydrogenase (NADP+) activity
1609,STM3167,nucleotide metabolic process
1610,STM3169,carbohydrate binding
1611,STM3382,pantothenate transmembrane transport
1612,STM3382,pantothenate transmembrane transporter activity
1613,STM3390,response to antibiotic
1614,STM3390,intrinsic component of plasma membrane
1615,STM3390,xenobiotic transmembrane transporter activity
1616,STM3391,xenobiotic transmembrane transporter activity
1617,STM3391,plasma membrane
1622,STM3406,co-translational protein modification
1623,STM3406,peptide deformylase activity
1624,STM3406,peptidyl-methionine modification
1625,STM3406,N-terminal protein amino acid modification
1626,STM3407,cytosol
1627,STM3407,conversion of methionyl-tRNA to N-formyl-methionyl-tRNA
1628,STM3407,methionyl-tRNA formyltransferase activity
1629,STM3418,small ribosomal subunit
1630,STM3418,cytosol
1637,STM3457,membrane
1638,STM3457,integral component of plasma membrane
1639,STM3459,ATP binding
1640,STM3467,transmembrane transport
1641,STM3467,plasma membrane
1642,STM3467,transmembrane transporter activity
1643,STM3482,cytosol
1644,STM3482,dephosphorylation
1645,STM3482,DNA repair
1646,STM3482,phosphoglycolate phosphatase activity
1647,STM3483,cellular carbohydrate metabolic process
1648,STM3483,pentose catabolic process
1649,STM3483,"pentose-phosphate shunt, non-oxidative branch"
1650,STM3483,cytosol
1651,STM3483,ribulose-phosphate 3-epimerase activity
1652,STM3483,metal ion binding
1653,STM3488,transport
1654,STM3491,type IV pilus biogenesis
1655,STM3491,type IV pilus-dependent motility
1656,STM3493,peptidoglycan biosynthetic process
1657,STM3493,penicillin binding
1658,STM3493,response to antibiotic
1659,STM3493,peptidoglycan glycosyltransferase activity
1663,STM3503,"DNA-templated transcription, elongation"
1664,STM3504,cytosol
1665,STM3504,structural constituent of ribosome
1666,STM3504,mRNA binding
1667,STM3504,translation
1672,STM3512,gluconate transmembrane transporter activity
1673,STM3512,integral component of plasma membrane
1674,STM3512,gluconate transmembrane transport
1675,STM3516,translational termination
1676,STM3516,mRNA catabolic process
1677,STM3516,endoribonuclease activity
1678,STM3517,bacterial-type cis-regulatory region sequence-specific DNA binding
1679,STM3517,"transcription, DNA-templated"
1680,STM3518,RNA-3'-phosphate cyclase activity
1681,STM3519,DNA ligase activity
1682,STM3519,manganese ion binding
1683,STM3519,RNA repair
1684,STM3519,RNA ligase activity
1685,STM3519,DNA repair
1688,STM3526,glycerol-3-phosphate dehydrogenase (quinone) activity
1689,STM3526,glycerol-3-phosphate catabolic process
1690,STM3531,cytosol
1691,STM3531,hydro-lyase activity
1692,STM3533,"negative regulation of transcription, DNA-templated"
1693,STM3533,DNA-binding transcription factor activity
1694,STM3533,DNA binding
1695,STM3534,cytoplasm
1696,STM3534,pyridoxal phosphate binding
1697,STM3534,glycogen catabolic process
1698,STM3534,glycogen phosphorylase activity
1699,STM3538,cytoplasm
1700,STM3538,"1,4-alpha-glucan branching enzyme activity"
1701,STM3538,glycogen biosynthetic process
1702,STM3538,carbohydrate metabolic process
1703,STM3538,cytosol
1704,STM3541,gluconate transmembrane transporter activity
1705,STM3541,integral component of plasma membrane
1706,STM3541,gluconate transmembrane transport
1707,STM3546,"transferase activity, transferring acyl groups other than amino-acyl groups"
1708,STM3885,cytosol
1709,STM3549,plasma membrane
1710,STM3569,integral component of membrane
1711,STM3569,cell division site
1712,STM3569,cell division
1713,STM3571,protein targeting
1714,STM3571,GTPase activity
1715,STM3571,plasma membrane
1716,STM3571,membrane
1717,STM3571,signal recognition particle binding
1718,STM3582,transmembrane transport
1719,STM3587,plasma membrane
1724,STM3597,cellular response to oxidative stress
1725,STM3597,cytosol
1726,STM3597,cell redox homeostasis
1727,STM3597,glutathione-disulfide reductase activity
1728,STM3597,glutathione metabolic process
1729,STM3597,flavin adenine dinucleotide binding
1730,STM3598,asparaginase activity
1731,STM3598,periplasmic space
1732,STM3598,asparagine catabolic process
1733,STM3601,UDP-N-acetylglucosamine metabolic process
1734,STM3601,protein N-linked glycosylation
1735,STM3601,fructose 6-phosphate metabolic process
1736,STM3601,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
1737,STM3601,cytosol
1738,STM3602,"negative regulation of transcription, DNA-templated"
1739,STM3605,lysozyme activity
1740,STM3607,sequence-specific DNA binding
1741,STM3607,DNA-binding transcription factor activity
1742,STM3607,"transcription, DNA-templated"
1743,STM3610,regulation of protein targeting to membrane
1744,STM3610,plasma membrane
1745,STM3612,cellular response to DNA damage stimulus
1746,STM3612,D-galacturonate catabolic process
1747,STM3612,cytosol
1748,STM3612,2-dehydro-3-deoxygluconokinase activity
1749,STM3612,D-glucuronate catabolic process
1750,STM3617,cell division
1756,STM3628,dipeptide transmembrane transporter activity
1757,STM3631,xanthine transmembrane transporter activity
1758,STM3631,xanthine transport
1759,STM3631,integral component of plasma membrane
1760,STM3633,DNA-binding transcription factor activity
1761,STM3633,transcription regulatory region sequence-specific DNA binding
1762,STM3633,"regulation of transcription, DNA-templated"
1763,STM3642,DNA dealkylation involved in DNA repair
1764,STM3642,DNA-3-methyladenine glycosylase activity
1765,STM3644,electron transfer activity
1766,STM3644,molybdenum ion binding
1767,STM3644,outer membrane-bounded periplasmic space
1768,STM3644,anaerobic respiration
1772,STM3822,electron transfer activity
1773,STM3822,molybdenum ion binding
1774,STM3822,anaerobic respiration
1775,STM3822,outer membrane-bounded periplasmic space
1776,STM3823,anaerobic respiration
1777,STM3823,electron transfer activity
1778,STM3824,cytosol
1779,STM3824,phosphorelay response regulator activity
1780,STM3824,protein-DNA complex
1781,STM3824,transcription regulatory region sequence-specific DNA binding
1782,STM3824,DNA-binding transcription activator activity
1783,STM3831,phosphatase activity
1784,STM3831,cytosol
1785,STM3831,magnesium ion binding
1786,STM3834,cytosol
1787,STM3834,bacterial-type cis-regulatory region sequence-specific DNA binding
1788,STM3834,"regulation of transcription, DNA-templated"
1789,STM3842,membrane insertase activity
1790,STM3842,protein insertion into membrane
1791,STM3842,integral component of plasma membrane
1796,STM3848,"regulation of transcription, DNA-templated"
1797,STM3850,FMN binding
1798,STM3850,cytosol
1802,STM3655,cytosol
1803,STM3859,chorismate biosynthetic process
1804,STM3859,shikimate metabolic process
1805,STM3859,shikimate 3-dehydrogenase (NADP+) activity
1806,STM3859,NADP binding
1807,STM3859,cytosol
1808,STM3861,cytosol
1809,STM3861,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
1810,STM3861,fructose 6-phosphate metabolic process
1811,STM3861,protein N-linked glycosylation
1812,STM3861,UDP-N-acetylglucosamine metabolic process
1813,STM3661,D-xylose catabolic process
1814,STM3661,xylose isomerase activity
1815,STM3662,"regulation of transcription, DNA-templated"
1816,STM3662,transcription regulatory region sequence-specific DNA binding
1817,STM3662,DNA-binding transcription factor activity
1818,STM3866,ATP synthesis coupled proton transport
1819,STM3866,"proton-transporting ATP synthase complex, catalytic core F(1)"
1820,STM3665,valine-pyruvate transaminase activity
1821,STM3665,alpha-amino acid metabolic process
1822,STM3665,transaminase activity
1823,STM3665,valine biosynthetic process
1824,STM3665,cytosol
1825,STM3877,aspartate-ammonia ligase activity
1826,STM3877,cytosol
1827,STM3877,asparagine biosynthetic process
1828,STM3669,cytosol
1829,STM3880,potassium ion transmembrane transporter activity
1830,STM3880,membrane
1831,STM3880,potassium ion transport
1832,STM3881,D-ribose catabolic process
1833,STM3881,cytosol
1834,STM3881,intramolecular transferase activity
1835,STM3673,carbohydrate binding
1836,STM3885,cytosol
1837,STM3675,3-dehydro-L-gulonate-6-phosphate decarboxylase activity
1838,STM3675,L-ascorbic acid catabolic process
1839,STM3887,transmembrane transport
1840,STM3887,integral component of plasma membrane
1841,STM3887,transmembrane transporter activity
1842,STM3682,cytosol
1843,STM3682,selenocysteine metabolic process
1844,STM3682,tRNA binding
1845,STM3682,selenocysteine incorporation
1846,STM3682,selenocysteine insertion sequence binding
1847,STM3683,selenocysteinyl-tRNA(Sec) biosynthetic process
1848,STM3683,L-seryl-tRNASec selenium transferase activity
1849,STM3684,L-phenylalanine catabolic process
1850,STM3684,maleylacetoacetate isomerase activity
1851,STM3684,glutathione metabolic process
1852,STM3684,glutathione transferase activity
1853,STM3998,plasma membrane
1854,STM4012,protoporphyrinogen IX biosynthetic process
1855,STM4012,"4 iron, 4 sulfur cluster binding"
1856,STM4012,cytoplasm
1857,STM4012,coproporphyrinogen dehydrogenase activity
1858,STM4012,porphyrin-containing compound biosynthetic process
1859,STM3695,wobble position cytosine ribose methylation
1860,STM3695,wobble position uridine ribose methylation
1861,STM3696,transcription regulatory region sequence-specific DNA binding
1862,STM3696,"regulation of transcription, DNA-templated"
1863,STM3696,DNA-binding transcription factor activity
1864,STM3697,carbohydrate catabolic process
1865,STM3697,hydro-lyase activity
1866,STM3697,magnesium ion binding
1867,STM4021,sulfoquinovose isomerase activity
1868,STM4021,6-sulfoquinovose(1-) catabolic process to glycerone phosphate and 3-sulfolactaldehyde
1873,STM3705,septum digestion after cytokinesis
1874,STM3705,metalloendopeptidase activity
1876,STM3707,"transferase activity, transferring glycosyl groups"
1877,STM4032,short-chain carboxylesterase activity
1878,STM4034,protein maturation
1879,STM4034,cytosol
1880,STM4034,ferric iron binding
1881,STM3724,plasma membrane
1882,STM3724,lipid A biosynthetic process
1883,STM3724,transferase activity
1884,STM4037,electron transfer activity
1885,STM4037,molybdenum ion binding
1886,STM4037,anaerobic respiration
1887,STM3730,phosphopantothenoylcysteine decarboxylase activity
1888,STM3730,phosphopantothenoylcysteine decarboxylase complex
1889,STM3730,FMN binding
1890,STM3730,coenzyme A biosynthetic process
1899,STM3742,"guanosine-3',5'-bis(diphosphate) 3'-diphosphatase activity"
1900,STM3742,response to starvation
1901,STM3742,guanosine tetraphosphate metabolic process
1902,STM3742,GTP diphosphokinase activity
1903,STM4053,C4-dicarboxylate transport
1904,STM4053,transmembrane transporter activity
1905,STM4053,plasma membrane
1906,STM4059,phosphorelay response regulator activity
1907,STM4059,DNA-binding transcription activator activity
1908,STM4059,cytosol
1909,STM4059,protein-DNA complex
1910,STM4059,transcription regulatory region sequence-specific DNA binding
1920,STM4065,transporter activity
1921,STM4065,organic substance transport
1922,STM4065,integral component of plasma membrane
1923,STM4068,"negative regulation of transcription, DNA-templated"
1924,STM3766,double-stranded DNA endodeoxyribonuclease activity
1925,STM3766,DNA recombination
1926,STM3768,selenocysteinyl-tRNA(Sec) biosynthetic process
1927,STM3768,L-seryl-tRNASec selenium transferase activity
1930,STM3775,beta-glucosidase activity
1931,STM3775,cytosol
1932,STM3775,carbohydrate catabolic process
1937,STM3780,tagatose-bisphosphate aldolase activity
1938,STM3780,cytosol
1939,STM3781,cytosol
1949,STM4081,gluconeogenesis
1950,STM4081,glycolytic process
1951,STM4081,cytosol
1952,STM4081,glyceraldehyde-3-phosphate biosynthetic process
1953,STM4081,glycerol catabolic process
1954,STM4081,triose-phosphate isomerase activity
1955,STM4084,cytosol
1956,STM4085,"fructose 1,6-bisphosphate metabolic process"
1957,STM4085,"fructose 1,6-bisphosphate 1-phosphatase activity"
1958,STM4085,gluconeogenesis
1959,STM4086,cytosol
1968,STM4090,vitamin K biosynthetic process
1969,STM4090,prenyltransferase activity
1970,STM4090,plasma membrane
1971,STM4090,menaquinone biosynthetic process
1972,STM4090,"ubiquinone biosynthetic process via 3,4-dihydroxy-5-polyprenylbenzoate"
1973,STM3801,integral component of plasma membrane
1974,STM3801,gluconate transmembrane transporter activity
1975,STM3801,gluconate transmembrane transport
1976,STM3802,threonine catabolic process
1977,STM3802,L-threonine ammonia-lyase activity
1978,STM3802,L-serine ammonia-lyase activity
1979,STM3802,D-serine catabolic process
1980,STM3802,D-serine ammonia-lyase activity
1981,STM3802,L-serine catabolic process
1984,STM4095,DNA recombination
1985,STM4095,DNA unwinding involved in DNA replication
1986,STM4095,3'-5' DNA helicase activity
1987,STM4095,DNA replication initiation
1988,STM4095,double-strand break repair
1989,STM4100,pyridoxal phosphate binding
1990,STM4100,cystathionine gamma-synthase activity
1991,STM4100,cystathionine gamma-lyase activity
1992,STM4100,cysteine biosynthetic process via cystathionine
1993,STM4100,transsulfuration
1994,STM4100,carbon-sulfur lyase activity
1995,STM4100,cytoplasm
1996,STM4101,lysine biosynthetic process via diaminopimelate
1997,STM4101,homoserine biosynthetic process
1998,STM4101,cytosol
1999,STM4101,aspartate kinase activity
2000,STM4104,UDP-sugar diphosphatase activity
2001,STM4104,nucleotide catabolic process
2002,STM4104,outer membrane-bounded periplasmic space
2003,STM4104,5'-nucleotidase activity
2004,STM4108,cytosol
2006,STM4112,protein-phosphocysteine-sugar phosphotransferase activity
2007,STM4112,plasma membrane
2008,STM4112,phosphoenolpyruvate-dependent sugar phosphotransferase system
2009,STM4113,protein-phosphocysteine-sugar phosphotransferase activity
2010,STM4113,phosphoenolpyruvate-dependent sugar phosphotransferase system
2011,STM4113,plasma membrane
2012,STM4114,cytosol
2013,STM4116,phosphoenolpyruvate-dependent sugar phosphotransferase system
2014,STM4116,plasma membrane
2015,STM4116,protein-phosphocysteine-sugar phosphotransferase activity
2016,STM4119,cytosol
2017,STM4119,phosphoenolpyruvate carboxylase activity
2018,STM4120,arginine biosynthetic process
2019,STM4120,acetylornithine deacetylase activity
2020,STM4123,argininosuccinate lyase activity
2021,STM4123,cytoplasm
2022,STM4123,arginine biosynthetic process via ornithine
2023,STM4183,glyoxylate cycle
2024,STM4183,cytoplasm
2025,STM4183,malate synthase activity
2026,STM4205,plasma membrane
2027,STM4220,cytosol
2028,STM4220,homoserine biosynthetic process
2029,STM4220,aspartate kinase activity
2030,STM4220,lysine biosynthetic process via diaminopimelate
2031,STM4221,glucose-6-phosphate isomerase activity
2032,STM4221,glucose 6-phosphate metabolic process
2033,STM4221,gluconeogenesis
2034,STM4221,glycolytic process
2035,STM4221,monosaccharide binding
2036,STM4221,cytosol
2037,STM4233,cytosol
2038,STM4233,chorismate lyase activity
2039,STM4233,ubiquinone biosynthetic process
2040,STM4235,fatty acid metabolic process
2041,STM4235,triglyceride biosynthetic process
2042,STM4235,glycerol-3-phosphate O-acyltransferase activity
2043,STM4235,plasma membrane
2044,STM4235,phospholipid biosynthetic process
2045,STM4235,glycerol-3-phosphate metabolic process
2046,STM4238,plasma membrane
2047,STM4241,cytosol
2048,STM4241,zinc ion binding
2049,STM4241,DNA-binding transcription factor activity
2050,STM4241,regulation of secondary metabolite biosynthetic process
2051,STM4241,"negative regulation of transcription, DNA-templated"
2052,STM4241,transcription regulatory region sequence-specific DNA binding
2053,STM4259,efflux pump complex
2054,STM4259,porin activity
2055,STM4259,efflux transmembrane transporter activity
2056,STM4262,ATPase-coupled transmembrane transporter activity
2057,STM4262,transmembrane transport
2058,STM4262,ATPase-coupled lipid transmembrane transporter activity
2059,STM4268,plasma membrane
2060,STM4268,guanine transmembrane transporter activity
2061,STM4268,purine nucleobase transmembrane transporter activity
2062,STM4269,sodium:proton antiporter activity
2063,STM4269,regulation of intracellular pH
2064,STM4269,potassium ion transmembrane transport
2065,STM4269,sodium ion import across plasma membrane
2066,STM4269,potassium:proton antiporter activity
2067,STM4269,plasma membrane
2068,STM4270,cytosol
2069,STM4270,bacterial-type cis-regulatory region sequence-specific DNA binding
2070,STM4270,"regulation of transcription, DNA-templated"
2074,STM4274,plasma membrane
2075,STM4277,heme binding
2076,STM4277,outer membrane-bounded periplasmic space
2077,STM4277,anaerobic electron transport chain
2078,STM4277,"nitrite reductase (cytochrome, ammonia-forming) activity"
2080,STM4280,plasma membrane
2081,STM4282,cytochrome c-heme linkage via heme-L-cysteine
2082,STM4282,plasma membrane
2083,STM4283,membrane
2084,STM4283,plasma membrane
2085,STM4283,transmembrane transporter activity
2086,STM4283,dicarboxylic acid transport
2087,STM4284,enzyme activator activity
2088,STM4285,NADH dehydrogenase activity
2089,STM4285,"4 iron, 4 sulfur cluster binding"
2090,STM4285,plasma membrane respiratory chain complex I
2091,STM4285,cellular respiration
2092,STM4296,cytosol
2093,STM4296,pyridoxal phosphate binding
2094,STM4296,arginine catabolic process
2095,STM4296,arginine decarboxylase activity
2096,STM4296,carboxy-lyase activity
2097,STM4303,phosphorelay response regulator activity
2098,STM4304,phosphorelay sensor kinase activity
2103,STM4307,anaerobic respiration
2104,STM4307,dimethyl sulfoxide reductase activity
2105,STM4307,plasma membrane
2106,STM4307,dimethyl sulfoxide reductase complex
2107,STM4322,DNA-binding transcription factor activity
2108,STM4322,transcription regulatory region sequence-specific DNA binding
2109,STM4322,"regulation of transcription, DNA-templated"
2110,STM4323,oxidation-reduction process
2111,STM4323,cell redox homeostasis
2112,STM4323,protein disulfide oxidoreductase activity
2113,STM4339,cytoplasm
2114,STM4339,response to reactive oxygen species
2115,STM4339,lipid metabolic process
2116,STM4342,anaerobic respiration
2117,STM4342,plasma membrane fumarate reductase complex
2118,STM4348,phosphatidylserine decarboxylase activity
2119,STM4348,phosphatidylethanolamine biosynthetic process
2122,STM4356,NADPHX epimerase activity
2123,STM4356,ADP-dependent NAD(P)H-hydrate dehydratase activity
2124,STM4356,metabolite repair
2125,STM4356,NADHX epimerase activity
2126,STM4357,tRNA threonylcarbamoyladenosine modification
2127,STM4362,ribosome binding
2128,STM4362,cytoplasm
2137,STM4371,cytosol
2138,STM4515,plasma membrane
2139,STM4516,plasma membrane
2140,STM4518,DNA recombination
2141,STM4518,double-stranded DNA endodeoxyribonuclease activity
2142,STM4519,succinate-semialdehyde dehydrogenase (NAD+) activity
2143,STM4527,restriction endodeoxyribonuclease activity
2144,STM4527,bacterial nucleoid
2145,STM4530,cytosol
2146,STM4530,cytoplasm
2147,STM4532,integral component of plasma membrane
2148,STM4532,cellular response to nutrient levels
2149,STM4533,chemotaxis
2150,STM4533,transmembrane signaling receptor activity
2151,STM4533,integral component of plasma membrane
2152,STM4537,phosphoenolpyruvate-dependent sugar phosphotransferase system
2153,STM4537,integral component of plasma membrane
2154,STM4538,integral component of plasma membrane
2155,STM4538,phosphoenolpyruvate-dependent sugar phosphotransferase system
2156,STM4539,fructose 6-phosphate metabolic process
2157,STM4539,glutamine-fructose-6-phosphate transaminase (isomerizing) activity
2158,STM4539,protein N-linked glycosylation
2159,STM4539,UDP-N-acetylglucosamine metabolic process
2164,STM4541,arylsulfatase activity
2165,STM4543,DNA strand elongation involved in DNA replication
2166,STM4543,DNA replication
2169,STM4546,succinate transport
2170,STM4546,plasma membrane
2171,STM4551,cell adhesion involved in single-species biofilm formation
2172,STM4551,diguanylate cyclase activity
2173,STM4551,plasma membrane
2174,STM4551,negative regulation of bacterial-type flagellum-dependent cell motility
2182,STM4558,N-terminal peptidyl-alanine acetylation
2183,STM4558,"transferase activity, transferring acyl groups other than amino-acyl groups"
2184,STM4558,ribosomal-protein-alanine N-acetyltransferase activity
2185,STM4393,small ribosomal subunit rRNA binding
2186,STM4393,cytosolic small ribosomal subunit
2187,STM4393,structural constituent of ribosome
2188,STM4394,cytosolic large ribosomal subunit
2189,STM4396,septum digestion after cytokinesis
2190,STM4396,metalloendopeptidase activity
2191,STM4585,cytoplasm
2192,STM4585,"intramolecular transferase activity, phosphotransferases"
2193,STM4585,phosphatase activity
2194,STM4415,cytoplasm
2195,STM4415,"fructose 1,6-bisphosphate metabolic process"
2196,STM4415,sucrose biosynthetic process
2197,STM4415,fructose metabolic process
2198,STM4415,cytosol
2199,STM4415,gluconeogenesis
2200,STM4415,fructose 6-phosphate metabolic process
2201,STM4415,"fructose 1,6-bisphosphate 1-phosphatase activity"
2202,STM4589,phosphorelay sensor kinase activity
2203,STM4589,integral component of plasma membrane
2204,STM4418,carbohydrate:proton symporter activity
2205,STM4418,carbohydrate transport
2206,STM4418,membrane
2207,STM4419,carbohydrate:proton symporter activity
2208,STM4419,membrane
2209,STM4419,carbohydrate transport
2210,STM4592,pilus
2211,STM4592,pilus organization
2212,STM4592,cell adhesion involved in single-species biofilm formation
2213,STM4595,pilus
2214,STM4595,cell adhesion involved in single-species biofilm formation
2215,STM4595,pilus organization
2216,STM4600,tRNA (cytosine-2'-O-)-methyltransferase activity
2217,STM4600,tRNA nucleoside ribose methylation
2218,STM4600,cytosol
2219,STM4600,tRNA (uracil-2'-O-)-methyltransferase activity
2230,STM4433,oxidoreductase activity
2231,STM4433,NADPH regeneration
2232,STM4433,cytoplasm
2233,STM4434,transmembrane transport
2234,STM4434,transmembrane transporter activity
2235,STM4434,integral component of plasma membrane
2236,STM4464,plasma membrane
2237,STM3328,ornithine carbamoyltransferase activity
2238,STM3328,citrulline biosynthetic process
2239,STM3328,arginine biosynthetic process via ornithine
2240,STM4466,carbamate kinase activity
2241,STM4466,cytosol
2242,STM4466,arginine deiminase pathway
2243,STM4598,arginine deiminase activity
2244,STM4598,arginine deiminase pathway
2245,STM4468,cytosol
2246,STM4468,single-species biofilm formation
2247,STM4475,valine-tRNA ligase activity
2248,STM4475,valyl-tRNA aminoacylation
2249,STM4475,cytosol
2252,STM4479,lipopolysaccharide transport
2253,STM4479,ATP-binding cassette (ABC) transporter complex
2254,STM4480,lipopolysaccharide transport
2255,STM4480,ATP-binding cassette (ABC) transporter complex
2256,STM4482,L-idonate transmembrane transporter activity
2257,STM4482,integral component of plasma membrane
2258,STM4482,gluconate transmembrane transporter activity
2259,STM4482,L-idonate transmembrane transport
2260,STM4482,gluconate transmembrane transport
2261,STM4485,D-gluconate catabolic process
2262,STM4485,gluconokinase activity
2263,STM4486,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
2264,STM4489,RNA binding
2265,STM4499,cytosol
2266,STM4508,cytoplasm
2267,STM4508,tryptophan-tRNA ligase activity
2268,STM4508,tryptophanyl-tRNA aminoacylation
2269,STM1965,plasma membrane
2270,STM0229,lipid A biosynthetic process
2271,STM0229,phospholipid binding
2272,STM0240,rescue of stalled ribosome
2273,STM0240,aminoacyl-tRNA hydrolase activity
2274,STM0240,ribosome binding
2275,STM0243,tRNA m6t6A37 methyltransferase activity
2279,STM0256,transcription regulatory region sequence-specific DNA binding
2280,STM0256,"regulation of transcription, DNA-templated"
2281,STM0259,methyltransferase activity
2282,STM0262,methyltransferase activity
2283,STM0301,fimbrial usher porin activity
2284,STM0301,cell outer membrane
2285,STM0301,pilus assembly
2286,STM0308,2-oxoglutaramate amidase activity
2287,STM0308,omega-amidase activity
2290,STM0316,cytosol
2291,STM0316,metallodipeptidase activity
2292,STM0331,acetylpyruvate hydrolase activity
2293,STM0332,hydrolase activity
2294,STM0338,pilus assembly
